"","no","date","tank","block","trt","order","sync","species","mass_mg","doy","timetoemerge"
"352",354,2019-05-21,46,5,"early_high","early","high","hyla",155.2,141,36
"353",355,2019-05-21,50,5,"cont_med","cont","med","hyla",162.1,141,36
"354",356,2019-05-21,52,6,"early_high","early","high","hyla",135,141,36
"355",357,2019-05-22,21,3,"same_med","same","med","hyla",148.9,142,37
"356",358,2019-05-22,21,3,"same_med","same","med","hyla",141.4,142,37
"357",359,2019-05-22,24,3,"early_med","early","med","hyla",125.7,142,37
"358",360,2019-05-22,32,4,"same_low","same","low","hyla",188.7,142,37
"359",361,2019-05-22,38,4,"early_med","early","med","hyla",156.9,142,37
"360",362,2019-05-22,38,4,"early_med","early","med","hyla",146,142,37
"361",363,2019-05-22,42,5,"early_low","early","low","hyla",171.8,142,37
"362",364,2019-05-22,46,5,"early_high","early","high","hyla",135.5,142,37
"363",365,2019-05-22,50,5,"cont_med","cont","med","hyla",185.5,142,37
"364",366,2019-05-22,52,6,"early_high","early","high","hyla",138.5,142,37
"365",367,2019-05-22,60,6,"cont_low","cont","low","hyla",244.1,142,37
"366",368,2019-05-23,23,3,"late_low","late","low","hyla",148.6,143,38
"367",369,2019-05-23,40,4,"cont_high","cont","high","hyla",159.7,143,38
"368",370,2019-05-23,40,4,"cont_high","cont","high","hyla",158.2,143,38
"369",371,2019-05-23,40,4,"cont_high","cont","high","hyla",182.6,143,38
"370",372,2019-05-23,40,4,"cont_high","cont","high","hyla",160.2,143,38
"371",373,2019-05-23,50,5,"cont_med","cont","med","hyla",207.4,143,38
"372",374,2019-05-23,50,5,"cont_med","cont","med","hyla",151.9,143,38
"373",375,2019-05-23,60,6,"cont_low","cont","low","hyla",261.3,143,38
"374",376,2019-05-24,15,2,"early_high","early","high","hyla",144.3,144,39
"375",377,2019-05-24,20,2,"cont_med","cont","med","hyla",163.5,144,39
"376",378,2019-05-24,40,4,"cont_high","cont","high","hyla",158.8,144,39
"377",379,2019-05-24,50,5,"cont_med","cont","med","hyla",154.6,144,39
"378",380,2019-05-24,60,6,"cont_low","cont","low","hyla",258.4,144,39
"379",381,2019-05-25,15,2,"early_high","early","high","hyla",157.8,145,40
"380",382,2019-05-25,30,3,"cont_low","cont","low","hyla",140.7,145,40
"381",383,2019-05-25,37,4,"early_high","early","high","hyla",145.1,145,40
"382",384,2019-05-25,38,4,"early_med","early","med","hyla",147.9,145,40
"383",385,2019-05-25,51,6,"late_med","late","med","hyla",142.3,145,40
"384",386,2019-05-25,53,6,"early_med","early","med","hyla",161.2,145,40
"385",387,2019-05-25,53,6,"early_med","early","med","hyla",144.9,145,40
"386",388,2019-05-25,60,6,"cont_low","cont","low","hyla",241.2,145,40
"387",389,2019-05-26,14,2,"same_med","same","med","hyla",132.9,146,41
"388",390,2019-05-26,23,3,"late_low","late","low","hyla",118.7,146,41
"389",391,2019-05-26,29,3,"early_low","early","low","hyla",170.5,146,41
"390",392,2019-05-26,30,3,"cont_low","cont","low","hyla",161.6,146,41
"391",393,2019-05-26,30,3,"cont_low","cont","low","hyla",192.4,146,41
"392",394,2019-05-26,31,4,"late_low","late","low","hyla",143.8,146,41
"393",395,2019-05-26,40,4,"cont_high","cont","high","hyla",152.8,146,41
"394",396,2019-05-26,40,4,"cont_high","cont","high","hyla",147.9,146,41
"395",397,2019-05-26,40,4,"cont_high","cont","high","hyla",154,146,41
"396",398,2019-05-26,42,5,"early_low","early","low","hyla",203.8,146,41
"397",399,2019-05-26,48,5,"early_med","early","med","hyla",154.3,146,41
"398",400,2019-05-26,50,5,"cont_med","cont","med","hyla",192,146,41
"399",401,2019-05-27,24,3,"early_med","early","med","hyla",156.2,147,42
"400",402,2019-05-27,24,3,"early_med","early","med","hyla",147.7,147,42
"401",403,2019-05-27,26,3,"early_high","early","high","hyla",122.7,147,42
"402",404,2019-05-27,29,3,"early_low","early","low","hyla",NA,147,42
"403",405,2019-05-27,29,3,"early_low","early","low","hyla",152.1,147,42
"404",406,2019-05-27,40,4,"cont_high","cont","high","hyla",NA,147,42
"405",407,2019-05-27,46,5,"early_high","early","high","hyla",155,147,42
"406",408,2019-05-27,50,5,"cont_med","cont","med","hyla",204.1,147,42
"407",409,2019-05-27,52,6,"early_high","early","high","hyla",129.1,147,42
"408",410,2019-05-27,52,6,"early_high","early","high","hyla",129.1,147,42
"409",411,2019-05-27,53,6,"early_med","early","med","hyla",173.3,147,42
"410",412,2019-05-27,53,6,"early_med","early","med","hyla",157,147,42
"411",413,2019-05-27,53,6,"early_med","early","med","hyla",176,147,42
"412",414,2019-05-27,60,6,"cont_low","cont","low","hyla",206.6,147,42
"413",415,2019-05-28,1,1,"early_high","early","high","hyla",153,148,43
"414",416,2019-05-28,15,2,"early_high","early","high","hyla",134.5,148,43
"415",417,2019-05-28,17,2,"same_high","same","high","hyla",129,148,43
"416",418,2019-05-28,20,2,"cont_med","cont","med","hyla",205.6,148,43
"417",419,2019-05-28,37,4,"early_high","early","high","hyla",147.6,148,43
"418",420,2019-05-28,40,4,"cont_high","cont","high","hyla",151.3,148,43
"419",421,2019-05-28,42,5,"early_low","early","low","hyla",173,148,43
"420",422,2019-05-28,55,6,"early_low","early","low","hyla",142.6,148,43
"421",423,2019-05-29,13,2,"early_low","early","low","hyla",NA,149,44
"422",424,2019-05-29,20,2,"cont_med","cont","med","hyla",199.6,149,44
"423",425,2019-05-29,25,3,"same_low","same","low","hyla",131.8,149,44
"424",426,2019-05-29,35,4,"same_med","same","med","hyla",167.8,149,44
"425",427,2019-05-29,37,4,"early_high","early","high","hyla",141.3,149,44
"426",428,2019-05-29,37,4,"early_high","early","high","hyla",123.4,149,44
"427",429,2019-05-29,37,4,"early_high","early","high","hyla",152.5,149,44
"428",430,2019-05-29,48,5,"early_med","early","med","hyla",193.1,149,44
"429",431,2019-05-30,3,1,"early_low","early","low","hyla",195.7,150,45
"430",433,2019-05-30,3,1,"early_low","early","low","hyla",227.5,150,45
"431",434,2019-05-30,26,3,"early_high","early","high","hyla",158.1,150,45
"432",435,2019-05-30,29,3,"early_low","early","low","hyla",150.2,150,45
"433",436,2019-05-30,30,3,"cont_low","cont","low","hyla",265.3,150,45
"434",437,2019-05-30,37,4,"early_high","early","high","hyla",157.8,150,45
"435",438,2019-05-30,42,5,"early_low","early","low","hyla",179,150,45
"436",439,2019-05-30,44,5,"same_high","same","high","hyla",149.9,150,45
"437",440,2019-05-30,48,5,"early_med","early","med","hyla",183.3,150,45
"438",441,2019-05-30,53,6,"early_med","early","med","hyla",160.9,150,45
"439",442,2019-05-30,55,6,"early_low","early","low","hyla",189.5,150,45
"440",443,2019-05-31,3,1,"early_low","early","low","hyla",211,151,46
"441",444,2019-05-31,20,2,"cont_med","cont","med","hyla",195.8,151,46
"442",445,2019-05-31,25,3,"same_low","same","low","hyla",162.4,151,46
"443",446,2019-05-31,38,4,"early_med","early","med","hyla",165.5,151,46
"444",447,2019-05-31,40,4,"cont_high","cont","high","hyla",NA,151,46
"445",448,2019-05-31,45,5,"late_low","late","low","hyla",132.1,151,46
"446",449,2019-05-31,48,5,"early_med","early","med","hyla",211.3,151,46
"447",450,2019-05-31,48,5,"early_med","early","med","hyla",182.5,151,46
"448",451,2019-06-01,1,1,"early_high","early","high","hyla",156.1,152,47
"449",452,2019-06-01,2,1,"early_med","early","med","hyla",163,152,47
"450",453,2019-06-01,3,1,"early_low","early","low","hyla",151.8,152,47
"451",454,2019-06-01,3,1,"early_low","early","low","hyla",191.2,152,47
"452",455,2019-06-01,15,2,"early_high","early","high","hyla",NA,152,47
"453",456,2019-06-01,36,4,"late_high","late","high","hyla",115.6,152,47
"454",457,2019-06-01,38,4,"early_med","early","med","hyla",188,152,47
"455",458,2019-06-01,42,5,"early_low","early","low","hyla",216.6,152,47
"456",459,2019-06-01,52,6,"early_high","early","high","hyla",164,152,47
"457",460,2019-06-02,20,2,"cont_med","cont","med","hyla",138.8,153,48
"458",461,2019-06-02,21,3,"same_med","same","med","hyla",163.9,153,48
"459",462,2019-06-02,33,4,"early_low","early","low","hyla",158,153,48
"460",463,2019-06-02,33,4,"early_low","early","low","hyla",NA,153,48
"461",464,2019-06-02,35,4,"same_med","same","med","hyla",165.7,153,48
"462",465,2019-06-02,40,4,"cont_high","cont","high","hyla",NA,153,48
"463",466,2019-06-02,46,5,"early_high","early","high","hyla",178.4,153,48
"464",467,2019-06-02,47,5,"same_low","same","low","hyla",142.3,153,48
"465",468,2019-06-02,50,5,"cont_med","cont","med","hyla",178.9,153,48
"466",469,2019-06-02,53,6,"early_med","early","med","hyla",191.8,153,48
"467",470,2019-06-02,55,6,"early_low","early","low","hyla",NA,153,48
"468",471,2019-06-03,1,1,"early_high","early","high","hyla",NA,154,49
"469",472,2019-06-03,1,1,"early_high","early","high","hyla",125.1,154,49
"470",473,2019-06-03,3,1,"early_low","early","low","hyla",173.8,154,49
"471",474,2019-06-03,24,3,"early_med","early","med","hyla",149.5,154,49
"472",475,2019-06-03,26,3,"early_high","early","high","hyla",203.2,154,49
"473",476,2019-06-03,29,3,"early_low","early","low","hyla",177.9,154,49
"474",477,2019-06-03,30,3,"cont_low","cont","low","hyla",327.9,154,49
"475",478,2019-06-03,40,4,"cont_high","cont","high","hyla",NA,154,49
"476",479,2019-06-03,40,4,"cont_high","cont","high","hyla",173.5,154,49
"477",480,2019-06-03,42,5,"early_low","early","low","hyla",187.5,154,49
"478",481,2019-06-03,48,5,"early_med","early","med","hyla",174.7,154,49
"479",482,2019-06-03,50,5,"cont_med","cont","med","hyla",NA,154,49
"480",483,2019-06-03,50,5,"cont_med","cont","med","hyla",212.9,154,49
"481",484,2019-06-03,50,5,"cont_med","cont","med","hyla",179.7,154,49
"482",485,2019-06-03,53,6,"early_med","early","med","hyla",169.1,154,49
"483",486,2019-06-03,57,6,"same_low","same","low","hyla",142.8,154,49
"484",487,2019-06-03,60,6,"cont_low","cont","low","hyla",239,154,49
"485",488,2019-06-04,20,2,"cont_med","cont","med","hyla",197,155,50
"486",489,2019-06-04,21,3,"same_med","same","med","hyla",199.9,155,50
"487",490,2019-06-04,21,3,"same_med","same","med","hyla",187.6,155,50
"488",491,2019-06-04,24,3,"early_med","early","med","hyla",175.4,155,50
"489",492,2019-06-04,40,4,"cont_high","cont","high","hyla",NA,155,50
"490",493,2019-06-04,40,4,"cont_high","cont","high","hyla",172.5,155,50
"491",494,2019-06-04,57,6,"same_low","same","low","hyla",181.5,155,50
"492",495,2019-06-04,60,6,"cont_low","cont","low","hyla",273.3,155,50
"493",496,2019-06-05,3,1,"early_low","early","low","hyla",223.7,156,51
"494",497,2019-06-05,11,2,"early_med","early","med","hyla",157.8,156,51
"495",498,2019-06-05,20,2,"cont_med","cont","med","hyla",193.2,156,51
"496",499,2019-06-05,30,3,"cont_low","cont","low","hyla",278.2,156,51
"497",500,2019-06-05,50,5,"cont_med","cont","med","hyla",245.5,156,51
"498",501,2019-06-05,60,6,"cont_low","cont","low","hyla",284.7,156,51
"499",502,2019-06-06,3,1,"early_low","early","low","hyla",215.6,157,52
"500",503,2019-06-06,10,1,"cont_high","cont","high","hyla",141.3,157,52
"501",504,2019-06-06,21,3,"same_med","same","med","hyla",187.5,157,52
"502",505,2019-06-06,26,3,"early_high","early","high","hyla",205.4,157,52
"503",506,2019-06-06,26,3,"early_high","early","high","hyla",180.3,157,52
"504",507,2019-06-06,26,3,"early_high","early","high","hyla",187.2,157,52
"505",508,2019-06-06,26,3,"early_high","early","high","hyla",222,157,52
"506",509,2019-06-06,26,3,"early_high","early","high","hyla",163.5,157,52
"507",510,2019-06-06,33,4,"early_low","early","low","hyla",177.7,157,52
"508",511,2019-06-06,36,4,"late_high","late","high","hyla",137.4,157,52
"509",512,2019-06-06,40,4,"cont_high","cont","high","hyla",263.5,157,52
"510",513,2019-06-06,42,5,"early_low","early","low","hyla",181.9,157,52
"511",514,2019-06-06,44,5,"same_high","same","high","hyla",155.7,157,52
"512",515,2019-06-06,46,5,"early_high","early","high","hyla",196.6,157,52
"513",516,2019-06-06,53,6,"early_med","early","med","hyla",176.9,157,52
"514",517,2019-06-06,55,6,"early_low","early","low","hyla",195.6,157,52
"515",518,2019-06-07,2,1,"early_med","early","med","hyla",180.6,158,53
"516",519,2019-06-07,3,1,"early_low","early","low","hyla",214.9,158,53
"517",520,2019-06-07,3,1,"early_low","early","low","hyla",227.4,158,53
"518",521,2019-06-07,3,1,"early_low","early","low","hyla",237.2,158,53
"519",522,2019-06-07,20,2,"cont_med","cont","med","hyla",231.7,158,53
"520",523,2019-06-07,26,3,"early_high","early","high","hyla",268.6,158,53
"521",524,2019-06-07,37,4,"early_high","early","high","hyla",167.8,158,53
"522",525,2019-06-07,40,4,"cont_high","cont","high","hyla",217.2,158,53
"523",526,2019-06-07,42,5,"early_low","early","low","hyla",186.9,158,53
"524",527,2019-06-07,44,5,"same_high","same","high","hyla",145.9,158,53
"525",528,2019-06-07,47,5,"same_low","same","low","hyla",172.8,158,53
"526",529,2019-06-07,51,6,"late_med","late","med","hyla",175.7,158,53
"527",530,2019-06-07,55,6,"early_low","early","low","hyla",216,158,53
"528",531,2019-06-07,57,6,"same_low","same","low","hyla",212,158,53
"529",532,2019-06-08,2,1,"early_med","early","med","hyla",132.6,159,54
"530",533,2019-06-08,6,1,"same_low","same","low","hyla",162.1,159,54
"531",534,2019-06-08,10,1,"cont_high","cont","high","hyla",179.2,159,54
"532",535,2019-06-08,11,2,"early_med","early","med","hyla",144.9,159,54
"533",536,2019-06-08,15,2,"early_high","early","high","hyla",147.1,159,54
"534",537,2019-06-08,25,3,"same_low","same","low","hyla",202.6,159,54
"535",538,2019-06-08,32,4,"same_low","same","low","hyla",142.3,159,54
"536",539,2019-06-08,38,4,"early_med","early","med","hyla",190,159,54
"537",540,2019-06-08,46,5,"early_high","early","high","hyla",240.2,159,54
"538",541,2019-06-08,51,6,"late_med","late","med","hyla",192.7,159,54
"539",542,2019-06-09,20,2,"cont_med","cont","med","hyla",NA,160,55
"540",543,2019-06-09,25,3,"same_low","same","low","hyla",222.2,160,55
"541",544,2019-06-09,26,3,"early_high","early","high","hyla",187.5,160,55
"542",545,2019-06-09,26,3,"early_high","early","high","hyla",225.9,160,55
"543",546,2019-06-09,26,3,"early_high","early","high","hyla",200.6,160,55
"544",547,2019-06-09,29,3,"early_low","early","low","hyla",NA,160,55
"545",548,2019-06-09,29,3,"early_low","early","low","hyla",213.2,160,55
"546",549,2019-06-09,33,4,"early_low","early","low","hyla",181.4,160,55
"547",550,2019-06-09,34,4,"same_high","same","high","hyla",130.7,160,55
"548",551,2019-06-09,38,4,"early_med","early","med","hyla",198,160,55
"549",552,2019-06-09,38,4,"early_med","early","med","hyla",203.8,160,55
"550",553,2019-06-09,42,5,"early_low","early","low","hyla",198.8,160,55
"551",554,2019-06-09,44,5,"same_high","same","high","hyla",157.2,160,55
"552",555,2019-06-09,46,5,"early_high","early","high","hyla",176.1,160,55
"553",556,2019-06-09,58,6,"same_med","same","med","hyla",160.7,160,55
"554",557,2019-06-09,58,6,"same_med","same","med","hyla",212.3,160,55
"555",558,2019-06-10,1,1,"early_high","early","high","hyla",151.6,161,56
"556",559,2019-06-10,3,1,"early_low","early","low","hyla",174.4,161,56
"557",560,2019-06-10,12,2,"same_low","same","low","hyla",183.3,161,56
"558",561,2019-06-10,12,2,"same_low","same","low","hyla",179.1,161,56
"559",562,2019-06-10,20,2,"cont_med","cont","med","hyla",244.4,161,56
"560",563,2019-06-10,26,3,"early_high","early","high","hyla",231.3,161,56
"561",564,2019-06-10,26,3,"early_high","early","high","hyla",219.6,161,56
"562",565,2019-06-10,29,3,"early_low","early","low","hyla",208.2,161,56
"563",566,2019-06-10,30,3,"cont_low","cont","low","hyla",435.4,161,56
"564",567,2019-06-10,35,4,"same_med","same","med","hyla",223.3,161,56
"565",568,2019-06-10,37,4,"early_high","early","high","hyla",160,161,56
"566",569,2019-06-10,37,4,"early_high","early","high","hyla",170.2,161,56
"567",570,2019-06-10,37,4,"early_high","early","high","hyla",185.2,161,56
"568",571,2019-06-10,37,4,"early_high","early","high","hyla",156.9,161,56
"569",572,2019-06-10,39,4,"late_med","late","med","hyla",166.3,161,56
"570",573,2019-06-10,42,5,"early_low","early","low","hyla",278.2,161,56
"571",574,2019-06-10,46,5,"early_high","early","high","hyla",203.1,161,56
"572",575,2019-06-10,46,5,"early_high","early","high","hyla",134,161,56
"573",576,2019-06-10,51,6,"late_med","late","med","hyla",221,161,56
"574",577,2019-06-10,52,6,"early_high","early","high","hyla",193.5,161,56
"575",578,2019-06-10,59,6,"late_low","late","low","hyla",162.7,161,56
"576",579,2019-06-10,60,6,"cont_low","cont","low","hyla",NA,161,56
"577",580,2019-06-11,10,1,"cont_high","cont","high","hyla",152.6,162,57
"578",581,2019-06-11,24,3,"early_med","early","med","hyla",150.3,162,57
"579",582,2019-06-11,33,4,"early_low","early","low","hyla",249.2,162,57
"580",583,2019-06-11,33,4,"early_low","early","low","hyla",218.6,162,57
"581",584,2019-06-11,38,4,"early_med","early","med","hyla",214.9,162,57
"582",585,2019-06-11,40,4,"cont_high","cont","high","hyla",212.6,162,57
"583",586,2019-06-11,42,5,"early_low","early","low","hyla",204.9,162,57
"584",587,2019-06-11,46,5,"early_high","early","high","hyla",201.5,162,57
"585",588,2019-06-11,48,5,"early_med","early","med","hyla",240,162,57
"586",589,2019-06-11,50,5,"cont_med","cont","med","hyla",253.8,162,57
"587",590,2019-06-11,52,6,"early_high","early","high","hyla",200,162,57
"588",591,2019-06-12,1,1,"early_high","early","high","hyla",204.8,163,58
"589",592,2019-06-12,3,1,"early_low","early","low","hyla",187.5,163,58
"590",593,2019-06-12,3,1,"early_low","early","low","hyla",232.9,163,58
"591",594,2019-06-12,37,4,"early_high","early","high","hyla",201.8,163,58
"592",595,2019-06-12,51,6,"late_med","late","med","hyla",213,163,58
"593",596,2019-06-13,1,1,"early_high","early","high","hyla",NA,164,59
"594",597,2019-06-13,1,1,"early_high","early","high","hyla",131.5,164,59
"595",598,2019-06-13,3,1,"early_low","early","low","hyla",232.1,164,59
"596",599,2019-06-13,3,1,"early_low","early","low","hyla",211.4,164,59
"597",600,2019-06-13,15,2,"early_high","early","high","hyla",NA,164,59
"598",601,2019-06-13,24,3,"early_med","early","med","hyla",162.4,164,59
"599",602,2019-06-13,29,3,"early_low","early","low","hyla",NA,164,59
"600",603,2019-06-13,29,3,"early_low","early","low","hyla",219.2,164,59
"601",604,2019-06-13,35,4,"same_med","same","med","hyla",NA,164,59
"602",605,2019-06-13,37,4,"early_high","early","high","hyla",212.5,164,59
"603",606,2019-06-13,39,4,"late_med","late","med","hyla",216.6,164,59
"604",607,2019-06-13,40,4,"cont_high","cont","high","hyla",233.8,164,59
"605",608,2019-06-13,43,5,"same_med","same","med","hyla",139.1,164,59
"606",609,2019-06-13,46,5,"early_high","early","high","hyla",239.5,164,59
"607",610,2019-06-13,51,6,"late_med","late","med","hyla",212.6,164,59
"608",611,2019-06-13,52,6,"early_high","early","high","hyla",NA,164,59
"609",612,2019-06-13,53,6,"early_med","early","med","hyla",250.2,164,59
"610",613,2019-06-13,55,6,"early_low","early","low","hyla",308.7,164,59
"611",614,2019-06-13,57,6,"same_low","same","low","hyla",206.3,164,59
"612",615,2019-06-13,57,6,"same_low","same","low","hyla",215.4,164,59
"613",616,2019-06-13,60,6,"cont_low","cont","low","hyla",335.4,164,59
"614",617,2019-06-14,9,1,"late_low","late","low","hyla",208.2,165,60
"615",618,2019-06-14,17,2,"same_high","same","high","hyla",216.8,165,60
"616",619,2019-06-14,37,4,"early_high","early","high","hyla",201.8,165,60
"617",620,2019-06-14,43,5,"same_med","same","med","hyla",NA,165,60
"618",621,2019-06-14,46,5,"early_high","early","high","hyla",272.4,165,60
"619",622,2019-06-14,47,5,"same_low","same","low","hyla",192.8,165,60
"620",623,2019-06-14,48,5,"early_med","early","med","hyla",219.8,165,60
"621",624,2019-06-14,54,6,"same_high","same","high","hyla",177.5,165,60
"622",625,2019-06-14,57,6,"same_low","same","low","hyla",216.1,165,60
"623",626,2019-06-15,5,1,"same_med","same","med","hyla",179,166,61
"624",627,2019-06-15,9,1,"late_low","late","low","hyla",156.8,166,61
"625",628,2019-06-15,20,2,"cont_med","cont","med","hyla",200.9,166,61
"626",629,2019-06-15,24,3,"early_med","early","med","hyla",163.9,166,61
"627",630,2019-06-15,45,5,"late_low","late","low","hyla",181.8,166,61
"628",631,2019-06-15,46,5,"early_high","early","high","hyla",185.2,166,61
"629",632,2019-06-15,48,5,"early_med","early","med","hyla",307.4,166,61
"630",633,2019-06-15,54,6,"same_high","same","high","hyla",160.5,166,61
"631",634,2019-06-15,58,6,"same_med","same","med","hyla",203.5,166,61
"632",635,2019-06-16,9,1,"late_low","late","low","hyla",178.4,167,62
"633",636,2019-06-16,17,2,"same_high","same","high","hyla",207.9,167,62
"634",637,2019-06-16,21,3,"same_med","same","med","hyla",218.2,167,62
"635",638,2019-06-16,25,3,"same_low","same","low","hyla",190.9,167,62
"636",639,2019-06-16,29,3,"early_low","early","low","hyla",270.5,167,62
"637",640,2019-06-16,35,4,"same_med","same","med","hyla",266.6,167,62
"638",641,2019-06-16,40,4,"cont_high","cont","high","hyla",NA,167,62
"639",642,2019-06-16,46,5,"early_high","early","high","hyla",261.1,167,62
"640",643,2019-06-16,50,5,"cont_med","cont","med","hyla",NA,167,62
"641",644,2019-06-16,50,5,"cont_med","cont","med","hyla",225.2,167,62
"642",645,2019-06-16,51,6,"late_med","late","med","hyla",207.7,167,62
"643",646,2019-06-16,52,6,"early_high","early","high","hyla",189.8,167,62
"644",647,2019-06-16,56,6,"late_high","late","high","hyla",224.3,167,62
"645",648,2019-06-16,57,6,"same_low","same","low","hyla",171.6,167,62
"646",649,2019-06-17,2,1,"early_med","early","med","hyla",189.6,168,63
"647",650,2019-06-17,3,1,"early_low","early","low","hyla",220.4,168,63
"648",651,2019-06-17,10,1,"cont_high","cont","high","hyla",164.7,168,63
"649",652,2019-06-17,12,2,"same_low","same","low","hyla",201.4,168,63
"650",653,2019-06-17,25,3,"same_low","same","low","hyla",199.5,168,63
"651",654,2019-06-17,26,3,"early_high","early","high","hyla",187.3,168,63
"652",655,2019-06-17,33,4,"early_low","early","low","hyla",NA,168,63
"653",656,2019-06-17,36,4,"late_high","late","high","hyla",178.2,168,63
"654",657,2019-06-17,37,4,"early_high","early","high","hyla",237.1,168,63
"655",658,2019-06-17,37,4,"early_high","early","high","hyla",249.7,168,63
"656",659,2019-06-17,37,4,"early_high","early","high","hyla",280.7,168,63
"657",660,2019-06-17,37,4,"early_high","early","high","hyla",216.7,168,63
"658",661,2019-06-17,42,5,"early_low","early","low","hyla",256.3,168,63
"659",662,2019-06-17,45,5,"late_low","late","low","hyla",209.4,168,63
"660",663,2019-06-17,45,5,"late_low","late","low","hyla",161.1,168,63
"661",664,2019-06-17,45,5,"late_low","late","low","hyla",218,168,63
"662",665,2019-06-17,50,5,"cont_med","cont","med","hyla",330.7,168,63
"663",666,2019-06-17,53,6,"early_med","early","med","hyla",250.2,168,63
"664",667,2019-06-17,53,6,"early_med","early","med","hyla",239.3,168,63
"665",668,2019-06-18,2,1,"early_med","early","med","hyla",NA,169,64
"666",669,2019-06-18,6,1,"same_low","same","low","hyla",173.4,169,64
"667",670,2019-06-18,20,2,"cont_med","cont","med","hyla",242.6,169,64
"668",671,2019-06-18,24,3,"early_med","early","med","hyla",170.8,169,64
"669",672,2019-06-18,25,3,"same_low","same","low","hyla",228.5,169,64
"670",673,2019-06-18,26,3,"early_high","early","high","hyla",202.3,169,64
"671",674,2019-06-18,26,3,"early_high","early","high","hyla",241.8,169,64
"672",675,2019-06-18,35,4,"same_med","same","med","hyla",154.7,169,64
"673",676,2019-06-18,38,4,"early_med","early","med","hyla",234,169,64
"674",677,2019-06-18,38,4,"early_med","early","med","hyla",211,169,64
"675",678,2019-06-18,38,4,"early_med","early","med","hyla",206.3,169,64
"676",679,2019-06-18,43,5,"same_med","same","med","hyla",186.8,169,64
"677",680,2019-06-18,46,5,"early_high","early","high","hyla",217.7,169,64
"678",681,2019-06-18,47,5,"same_low","same","low","hyla",210.6,169,64
"679",682,2019-06-18,47,5,"same_low","same","low","hyla",171.6,169,64
"680",683,2019-06-18,52,6,"early_high","early","high","hyla",213.8,169,64
"681",684,2019-06-18,52,6,"early_high","early","high","hyla",175.3,169,64
"682",685,2019-06-18,53,6,"early_med","early","med","hyla",231.6,169,64
"683",686,2019-06-19,1,1,"early_high","early","high","hyla",171.1,170,65
"684",687,2019-06-19,2,1,"early_med","early","med","hyla",190.8,170,65
"685",688,2019-06-19,10,1,"cont_high","cont","high","hyla",139.2,170,65
"686",689,2019-06-19,12,2,"same_low","same","low","hyla",170.2,170,65
"687",690,2019-06-19,13,2,"early_low","early","low","hyla",181.6,170,65
"688",691,2019-06-19,17,2,"same_high","same","high","hyla",157.3,170,65
"689",692,2019-06-19,17,2,"same_high","same","high","hyla",177.8,170,65
"690",693,2019-06-19,21,3,"same_med","same","med","hyla",135.5,170,65
"691",694,2019-06-19,37,4,"early_high","early","high","hyla",229.5,170,65
"692",695,2019-06-19,47,5,"same_low","same","low","hyla",222.1,170,65
"693",696,2019-06-19,48,5,"early_med","early","med","hyla",230.2,170,65
"694",697,2019-06-19,52,6,"early_high","early","high","hyla",228.4,170,65
"695",698,2019-06-19,52,6,"early_high","early","high","hyla",192.6,170,65
"696",699,2019-06-19,53,6,"early_med","early","med","hyla",232.4,170,65
"697",700,2019-06-19,53,6,"early_med","early","med","hyla",225.8,170,65
"698",701,2019-06-19,53,6,"early_med","early","med","hyla",279.5,170,65
"699",702,2019-06-19,53,6,"early_med","early","med","hyla",223.8,170,65
